"ID","SOA","score","predicted","SOA70","SOA110","SOA150","SOA230","block1","cape_score","Perspective","Stimulus_Type","Measurement","Score","Measurement_ownership","Measurement_agency","Measurement_location","fit","lwr","upr"
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Asynchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Synchronous","ownership",1,1,0,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Synchronous","location",4.5,0,0,1,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Synchronous","agency",1,0,1,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Asynchronous","ownership",1,1,0,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Asynchronous","location",3.5,0,0,1,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Asynchronous","agency",1,0,1,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"Third Person","Synchronous","ownership",1,1,0,0,2.50980392155881,2.2252057933348,2.79440204978283
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"Third Person","Synchronous","location",5.5,0,0,1,2.50980392155881,2.2252057933348,2.79440204978283
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"Third Person","Synchronous","agency",1,0,1,0,2.50980392155881,2.2252057933348,2.79440204978283
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"Third Person","Asynchronous","ownership",1,1,0,0,2.50980392155881,2.2252057933348,2.79440204978283
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"Third Person","Asynchronous","location",5.5,0,0,1,2.50980392155881,2.2252057933348,2.79440204978283
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.2252057933348,2.79440204978283
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"First Person","Synchronous","ownership",4.444444444,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"First Person","Synchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"First Person","Synchronous","agency",3,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"First Person","Asynchronous","ownership",4.222222222,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"First Person","Asynchronous","location",4.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"First Person","Asynchronous","agency",3,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"Third Person","Synchronous","ownership",3.222222222,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"Third Person","Synchronous","location",2.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"Third Person","Synchronous","agency",2,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"Third Person","Asynchronous","ownership",2,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"Third Person","Asynchronous","location",2.25,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",110,16,16.9865546218487,0,1,0,0,73,17,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"First Person","Synchronous","ownership",4.444444444,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"First Person","Synchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"First Person","Synchronous","agency",3,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"First Person","Asynchronous","ownership",4.222222222,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"First Person","Asynchronous","location",4.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"First Person","Asynchronous","agency",3,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"Third Person","Synchronous","ownership",3.222222222,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"Third Person","Synchronous","location",2.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"Third Person","Synchronous","agency",2,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"Third Person","Asynchronous","ownership",2,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"Third Person","Asynchronous","location",2.25,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",150,16,17.3378151260504,0,0,1,0,73,17,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"First Person","Synchronous","ownership",4.444444444,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"First Person","Synchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"First Person","Synchronous","agency",3,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"First Person","Asynchronous","ownership",4.222222222,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"First Person","Asynchronous","location",4.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"First Person","Asynchronous","agency",3,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"sajele87",230,19,18.0403361344538,0,0,0,1,73,17,"Third Person","Synchronous","ownership",3.222222222,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
